Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2024-06-01,25.5,19.8,15.4,15.5,13.4,11.4,88,68,44,1023,1020,39,14,49,0.00
2024-06-02,25.3,19.1,13.7,15.7,13.5,11.8,91,71,47,1024,1020,39,13,42,0.00
2024-06-03,27.4,19.9,15.3,16.5,14.1,11.6,93,72,40,1025,1021,29,10,35,0.00
2024-06-04,26.3,20.6,16.1,16.6,14.3,12.8,89,69,46,1022,1019,29,10,33,0.00
2024-06-05,27.0,21.1,16.4,15.7,12.9,9.8,83,62,38,1023,1019,29,11,35,0.00
2024-06-06,26.4,20.1,15.1,16.6,14.1,12.5,91,70,46,1023,1019,29,10,35,0.00
2024-06-07,27.3,21.1,16.0,16.4,14.4,12.6,89,67,44,1024,1020,30,11,33,0.00
2024-06-08,26.9,21.1,16.8,16.4,14.7,13.4,86,68,47,1024,1020,33,12,37,0.00
2024-06-09,28.0,21.2,16.4,15.4,13.8,11.9,82,64,43,1023,1018,30,10,39,0.00
2024-06-10,27.7,20.7,14.4,15.7,13.5,10.2,88,66,36,1022,1018,23,8,29,0.00
2024-06-11,27.4,21.4,16.8,16.8,14.7,11.8,86,67,42,1022,1019,28,10,35,0.00
2024-06-12,26.7,20.2,15.6,14.2,11.7,8.4,82,60,34,1022,1018,30,10,35,0.00
2024-06-13,25.9,20.4,13.9,16.0,13.4,10.4,81,65,50,1022,1018,31,11,35,0.00
2024-06-14,27.8,21.4,16.3,15.3,13.1,11.1,83,61,39,1022,1019,33,13,35,0.00
2024-06-15,25.9,20.4,16.2,16.9,14.5,12.8,83,70,49,1024,1020,32,11,35,0.00
2024-06-16,25.5,19.6,14.9,14.1,12.2,10.6,81,64,42,1022,1018,29,8,39,0.00
2024-06-17,27.6,18.6,12.9,12.9,10.9,9.3,83,63,35,1021,1016,25,8,29,0.00
2024-06-18,27.6,20.5,14.3,11.8,10.5,7.7,78,55,30,1020,1016,26,9,31,0.00
2024-06-19,28.1,21.1,15.7,15.7,12.7,10.7,76,60,38,1021,1017,21,8,25,0.00
2024-06-20,26.8,21.0,16.9,15.3,13.8,12.8,83,64,43,1021,1017,27,11,32,0.00
2024-06-21,26.1,20.4,15.6,14.5,12.5,11.3,79,62,42,1021,1017,28,11,33,0.00
2024-06-22,26.4,20.6,16.6,14.1,12.1,11.1,74,59,41,1021,1017,25,9,30,0.00
2024-06-23,27.1,21.0,15.7,12.7,11.1,9.3,76,55,35,1021,1017,24,8,29,0.00
2024-06-24,28.1,21.7,16.3,14.0,11.6,9.7,75,54,34,1021,1018,19,7,24,0.00
2024-06-25,27.5,21.7,16.3,12.2,11.2,10.2,71,53,36,1022,1018,24,9,30,0.00
2024-06-26,26.9,21.3,16.6,12.6,10.9,9.9,68,53,37,1021,1018,20,7,24,0.00
2024-06-27,27.8,22.6,16.9,13.6,10.6,9.8,64,48,34,1020,1015,21,6,24,0.00
2024-06-28,27.5,22.4,17.9,12.9,11.1,9.8,63,50,37,1020,1016,30,8,35,0.00
2024-06-29,27.3,22.5,15.9,12.8,10.4,9.1,70,47,36,1021,1017,25,6,38,0.00
2024-06-30,28.0,22.4,15.2,12.9,8.3,5.3,76,42,24,1021,1016,19,7,23,0.00
2024-07-01,28.9,21.7,16.9,12.0,8.6,5.9,58,44,29,1021,1018,19,8,21,0.00
2024-07-02,26.8,21.1,16.1,11.8,9.5,5.5,66,49,27,1022,1018,29,12,35,0.00
2024-07-03,26.8,20.1,15.0,15.3,12.5,10.7,82,63,40,1021,1017,27,11,35,0.00
2024-07-04,26.4,20.4,16.7,13.9,11.9,10.5,77,60,39,1021,1016,21,8,25,0.00
2024-07-05,27.1,20.4,15.3,12.6,11.5,10.2,73,58,39,1022,1018,20,9,23,0.00
2024-07-06,28.5,21.2,15.4,13.8,12.3,10.9,79,59,36,1023,1019,24,8,30,0.00
2024-07-07,28.8,22.0,16.4,13.9,10.0,6.4,76,50,26,1022,1018,22,9,25,0.00
2024-07-08,29.2,23.6,18.2,12.3,9.4,6.7,63,41,31,1021,1017,22,6,23,0.00
2024-07-09,28.9,23.2,17.9,12.4,10.6,9.1,60,46,34,1019,1015,24,8,29,0.00
2024-07-10,28.8,23.6,18.6,13.1,11.2,9.7,58,46,34,1019,1016,23,7,29,0.00
