Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,SolarRadiationWatts/m^2,DateUTC
2025-01-20 00:04:58,20.3,18.6,1018.3,SSE,153,2,3,90,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:04:58Z
2025-01-20 00:09:58,20.3,18.4,1018.3,South,174,3,3,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:09:58Z
2025-01-20 00:14:58,20.3,18.3,1018.3,South,174,0,1,88,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:14:58Z
2025-01-20 00:19:58,20.3,18.3,1018.0,South,191,4,5,88,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:19:58Z
2025-01-20 00:24:58,20.4,18.4,1018.0,SSW,194,6,6,88,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:24:58Z
2025-01-20 00:29:58,20.4,18.4,1018.0,SSW,193,6,7,88,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:29:58Z
2025-01-20 00:34:58,20.3,18.4,1018.0,South,185,6,6,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:34:58Z
2025-01-20 00:39:58,20.3,18.4,1018.0,SSE,168,6,7,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:39:58Z
2025-01-20 00:44:58,20.3,18.4,1018.0,SSE,151,6,7,90,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:44:58Z
2025-01-20 00:49:58,20.3,18.6,1017.6,SSE,163,5,6,90,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:49:58Z
2025-01-20 00:54:58,20.4,18.5,1018.0,South,172,4,5,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:54:58Z
2025-01-20 00:59:58,20.5,18.6,1018.0,SSE,166,5,6,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T03:59:58Z
2025-01-20 01:04:58,20.6,18.7,1017.6,South,171,4,5,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:04:58Z
2025-01-20 01:09:58,20.6,18.7,1017.6,SSW,205,4,5,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:09:58Z
2025-01-20 01:14:58,20.6,18.7,1017.6,SW,225,5,6,89,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:14:58Z
2025-01-20 01:19:58,20.4,18.6,1017.6,West,273,6,7,91,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:19:58Z
2025-01-20 01:23:58,19.7,18.2,1017.6,WNW,282,6,7,92,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:23:58Z
2025-01-20 01:29:58,19.2,17.9,1017.6,WNW,289,4,4,93,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:29:58Z
2025-01-20 01:34:58,18.9,17.9,1017.6,West,276,3,4,94,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:34:58Z
2025-01-20 01:39:58,18.8,17.8,1017.6,WSW,249,4,5,94,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:39:58Z
2025-01-20 01:44:58,18.7,17.9,1017.6,WSW,253,6,7,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:44:58Z
2025-01-20 01:49:58,18.6,17.6,1017.3,West,261,6,6,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:49:58Z
2025-01-20 01:54:58,18.4,17.6,1017.6,WNW,286,3,4,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:54:58Z
2025-01-20 01:59:58,18.4,17.6,1017.6,WNW,290,3,4,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T04:59:58Z
2025-01-20 02:04:58,18.3,17.6,1017.6,WNW,287,3,4,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:04:58Z
2025-01-20 02:09:58,18.3,17.7,1017.3,West,280,4,5,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:09:58Z
2025-01-20 02:14:58,18.3,17.7,1017.6,West,268,5,6,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:14:58Z
2025-01-20 02:19:58,18.4,17.6,1017.6,West,270,6,7,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:19:58Z
2025-01-20 02:24:58,18.3,17.5,1017.6,West,280,6,7,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:24:58Z
2025-01-20 02:29:58,18.3,17.4,1017.6,WNW,283,5,6,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:29:58Z
2025-01-20 02:34:58,18.3,17.4,1017.6,WNW,287,6,7,95,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:34:58Z
2025-01-20 02:39:58,18.2,17.4,1017.6,WNW,289,6,7,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:39:58Z
2025-01-20 02:44:58,18.1,17.4,1017.3,WNW,295,6,7,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:44:58Z
2025-01-20 02:49:58,18.0,17.3,1017.3,WNW,296,4,5,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:49:58Z
2025-01-20 02:54:58,18.1,17.4,1017.3,WNW,296,6,6,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:54:58Z
2025-01-20 02:59:58,18.1,17.4,1017.6,WNW,291,6,7,96,0.00,unknown,unknown,0.00,0.00,unknown,2025-01-20T05:59:58Z
